Date,Effort,Developers,Milestones
31/01/2018,6,"ps3416, ss5116",A02
02/02/2018,7,"PS3416, ss5116","A02, A03, A01"
09/02/2018,9,"ps3416, ss5116","A02, AO3, AO4, AO5, AO6"
21/02/2018,7,"ps3416, ss5116","AO6, AO7, AO8, AO9"
22/02/2018,10,"ps3416, ss5116","AO10, AO11, AO12, AO13"
23/02/2018,7,"ps3416, ss5116","AO13, AO14, AO12, AO15"
28/02/2018,8,"ps3416, ss5116","AO16, AO17, AO18, AO19, A020"
07/03/2018,6,"ps3416, ss5116","AO21, AO22, AO23, AO24, AO25, AO26, AO27"
08/03/2018,7,"ps3416, ss5116","AO28, A029, A030, AO31"
09/03/2018,8,"ps3416, ss5116","AO22, A023"
14/03/2018,7,"ps3416, ss5116","AO22, AO24, AO25, AO26"
16/03/2018,10,"ps3416, ss5116","AO27, AO28, AO29, AO30, AO31"
21/03/2018,9,"ps3416, ss5116","AO32, AO33, AO34"
22/03/2018,9,"ps3416, ss5116","AO35. AO36, AO37, AO38, AO39, AO40, AO41"
23/03/3018,8,"ps3416, ss5116","AO42, A043, A044, A045"
28/03/2018,7,"ps3416, ss5116","AO46, A047, A048"
29/03/2018,5,"ps3416, ss5116","AO48, AO49"
